	diff_exp.Symbol	diff_exp.logFC	diff_exp.adj.P.Val
1	HIST1H2BC	-0.758036483462522	0.00789900732009249
2	CYR61	0.8287976897409	0.00917888922062612
3	NA	-0.749918806926802	0.00917888922062612
4	PTPRN2	-0.590135259689029	0.00917888922062612
5	CEP83	0.624992698614789	0.0137828616046592
6	DIDO1	-0.500057485426566	0.0235210045365471
7	DEPDC1	0.624925252549384	0.0242074001135156
8	NT5E	-0.563000565142158	0.0245801447356645
9	IER3	0.603542541624101	0.0245801447356645
10	CKAP2L	0.669443964411016	0.0329016625810325
11	JUN	0.581774997431237	0.0329016625810325
12	SLC1A4	-0.557501026074799	0.0329016625810325
13	SAPCD2	0.468580038455025	0.0329016625810325
14	CCDC15	0.445935482904038	0.0329016625810325
15	PTPRN2	-0.411973023044291	0.0400011618539979
16	KALRN	-0.544932846117356	0.0400011618539979
17	SLC1A4	-0.42988938416057	0.0400011618539979
18	CENPE	0.644521626880585	0.0435326682684179
19	HIST2H2BE	-0.419019377282518	0.0473177467661056
20	TFR2	-0.413076871536613	0.0476766228497384
21	AURKA	0.452037283230625	0.0485048806382566
22	ATAD2	0.413001467432787	0.0492636090741782
23	ASPM	0.535930747736106	0.0492636090741782
24	HIST1H2AC	-0.65663920820044	0.049279691748679
25	NA	-0.493682915863867	0.049279691748679
26	KDM7A	0.843939444709491	0.049279691748679
