105	neutrophil
105	reh
105	sh-sy5y
107	brain
107	htert-hme1
107	sclc-21h
107	sh-sy5y
107	sk-mel-30
107	wm-115
108	af22
108	brain
108	ntera-2
108	sk-mel-30
108	skeletal muscle
111	heart muscle
111	mcf7
111	rpmi-8226
111	rptec tert1
112	sk-br-3
113	hel
113	hmc-1
113	rpmi-8226
114	brain
114	epididymis
114	u-138 mg
114	u-87 mg
115	fhdf/tert166
115	skeletal muscle
116	b-cells
116	blood
116	brain
116	dendritic cells
116	karpas-707
116	lymphoid tissue
116	lymphoid tissue
116	memory b-cell
116	plasmacytoid dc
116	rpmi-8226
116	sclc-21h
117	af22
117	brain
117	daudi
117	fallopian tube
117	gdt-cell
117	hela
117	karpas-707
117	nb-4
117	nk-cells
117	ntera-2
117	rt4
117	sclc-21h
117	sclc-21h
117	seminal vesicle
117	sh-sy5y
117	t-cells
117	testis
117	u-698
119	b-cells
119	bone marrow
119	brain
119	hap1
119	k-562
119	memory b-cell
119	monocytes
119	non-classical monocyte
119	ntera-2
119	rpmi-8226
119	sclc-21h
119	t-cells
119	u-251 mg
120	asc diff
120	asc tert1
123	adipose tissue
123	asc diff
123	basophil
123	eosinophil
123	granulocytes
123	hhstec
123	liver
123	monocytes
124	asc diff
124	liver
125	adipose tissue
125	asc diff
125	liver
125	midbrain
125	pons and medulla
126	asc tert1
126	hskmc
126	intestine
126	liver
126	stomach 1
127	hep g2
127	liver
130	hep g2
130	liver
130	neutrophil
131	asc tert1
131	esophagus
131	hacat
131	lymphoid tissue
131	tongue
132	liver
133	asc diff
133	fhdf/tert166
133	granulocytes
133	hskmc
133	neutrophil
133	placenta
133	u-138 mg
134	brain
134	caco-2
134	mcf7
134	rh-30
134	rptec tert1
134	sk-br-3
134	u-138 mg
135	basal ganglia
135	blood
135	bone marrow
135	brain
135	daudi
135	karpas-707
135	lymphoid tissue
135	rpmi-8226
135	sk-br-3
135	u-266/70
135	u-266/84
135	u-698
136	basophil
136	dendritic cells
136	granulocytes
136	hmc-1
136	htert-hme1
136	monocytes
136	myeloid dc
137	liver
137	skin - not sun exposed (suprapubic)
137	skin - sun exposed (lower leg)
140	blood
140	blood
140	brain
140	brain
140	eosinophil
140	eosinophil
140	granulocytes
140	granulocytes
140	hdlm-2
140	hmc-1
140	hmc-1
140	karpas-707
140	nb-4
140	testis
141	hdlm-2
141	hel
141	hmc-1
141	karpas-707
141	u-266/70
142	basophil
142	hbec3-kt
146	a549
146	bj
146	brain
146	capan-2
146	cerebral cortex
146	fhdf/tert166
146	hippocampal formation
147	asc diff
147	brain
147	efo-21
147	hacat
147	hap1
147	liver
147	liver
147	lymphoid tissue
147	ntera-2
147	time
147	u-2 os
147	u-2 os
147	u-251 mg
150	asc diff
150	asc tert1
150	gallbladder
150	hel
150	hela
150	hskmc
151	bewo
151	efo-21
151	hap1
151	ntera-2
151	sclc-21h
152	basal ganglia
152	cervix, uterine
152	hep g2
152	mcf7
152	ntera-2
152	sclc-21h
152	sh-sy5y
152	t-47d
153	hdlm-2
153	heart muscle
153	myeloid dc
153	placenta
153	thp-1
153	time
153	u-937
154	blood
154	hep g2
154	hhstec
154	htcepi
154	htert-hme1
154	liver
154	pc-3
154	rptec tert1
155	amygdala
155	gallbladder
155	hela
155	karpas-707
155	ovary
155	smooth muscle
155	u-2 os
156	bone marrow
156	nb-4
156	reh
157	adipose tissue
157	classical monocyte
157	eosinophil
157	hdlm-2
157	intermediate monocyte
157	memory b-cell
157	myeloid dc
157	naive b-cell
157	non-classical monocyte
157	plasmacytoid dc
157	sh-sy5y
158	liver
158	skeletal muscle
160	monocytes
160	non-classical monocyte
165	asc diff
165	bj
165	bj htert+
165	dendritic cells
165	fhdf/tert166
165	plasmacytoid dc
165	vagina
